#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
PG0231+051  02:33:41.360 +05:18:43.63 16.096 -0.320 -1.214 -0.144 -0.373 -0.502  33  18 0.0055 0.0057 0.0028 0.0117 0.0654    13.0    -7.6  ______  16.716 0.141 16.807 0.249 16.790 0.021  38.42233  +5.31232  0.7 -9.99  -9.99  -9.99  -9.99  -9.99  16.13
PG0231+051B 02:33:45.528 +05:17:33.30 14.732 +1.437 +1.279 +0.951 +0.991 +1.933  26  14 0.0017 0.0049 0.0119 0.0007 0.0022    15.1   -14.3  ______  11.705 0.023 11.061 0.023 10.886 0.023  38.43968  +5.29256  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.92
PG0231+051C 02:33:48.153 +05:20:26.36 13.707 +0.678 +0.078 +0.396 +0.385 +0.783  16   9 0.0009 0.0019 0.0011 0.0007 0.0019   -24.5   -30.8  ______  12.375 0.024 12.044 0.024 11.943 0.021  38.45061  +5.34064  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.44
Feige24     02:35:07.592 +03:43:56.79 12.412 -0.203 -1.182 +0.087 +0.361 +0.444 128 115 0.0010 0.0006 0.0017 0.0008 0.0008    79.7     4.4  ______  11.265 0.024 10.733 0.022 10.557 0.019  38.78162  +3.73243  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.82
Feige24A    02:35:16.611 +03:43:16.78 13.822 +0.525 +0.034 +0.314 +0.319 +0.635  20  10 0.0016 0.0025 0.0036 0.0016 0.0031     7.8    -6.1  ______  12.777 0.026 12.563 0.023 12.497 0.026  38.81921  +3.72131  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.51
Feige24B    02:35:18.333 +03:42:40.37 13.546 +0.668 +0.188 +0.382 +0.367 +0.749  19  10 0.0018 0.0020 0.0035 0.0015 0.0020    18.8    -6.5  ______  12.294 0.026 12.011 0.025 11.918 0.023  38.82638  +3.71121  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.23
Feige24C    02:35:26.318 +03:41:50.41 11.761 +1.133 +1.007 +0.598 +0.535 +1.127  18   9 0.0015 0.0012 0.0036 0.0005 0.0008   -12.0    -7.6  ______   9.809 0.024  9.248 0.022  9.104 0.021  38.85967  +3.69732  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.06
SA94-171    02:53:38.805 +00:17:18.60 12.659 +0.817 +0.304 +0.480 +0.483 +0.964  18   9 0.0028 0.0035 0.0045 0.0035 0.0038    18.0    10.3  G5:___  10.994 0.025 10.530 0.024 10.433 0.022  43.41170  +0.28843  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  11.84
SA94-296    02:55:19.985 +00:28:11.99 12.255 +0.750 +0.235 +0.415 +0.387 +0.803   2   1 0.0021 0.0014 0.0014 0.0021 0.009     18.2   -30.7  G5V___  10.928 0.024 10.606 0.030 10.516 0.023  43.83328  +0.46995  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.67
SA94-394    02:56:14.276 +00:35:11.57 12.273 +0.545 -0.047 +0.344 +0.330 +0.676   2   1 0.0028 0.0014 0.0014 0.0007 0.0007    -5.7     1.2  ______  11.132 0.024 10.884 0.024 10.796 0.025  44.05947  +0.58656  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.47
SA94-401    02:56:30.800 +00:40:06.88 14.293 +0.638 +0.098 +0.389 +0.369 +0.759   2   1 0.0014 0.0028 0.0120 0.0064 0.0099    -9.3    -5.5  ______  13.017 0.026 12.713 0.025 12.621 0.029  44.12834  +0.66858  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.64
SA94-242    02:57:21.211 +00:18:38.67 11.725 +0.303 +0.110 +0.176 +0.184 +0.362 123 116 0.0005 0.0005 0.0012 0.0005 0.0007   -10.1     3.7  A2____  11.123 0.026 11.003 0.028 10.942 0.023  44.33840  +0.31075  0.1 -9.99  -9.99  11.076 10.961 10.933 11.39
BD-02_524   02:57:39.679 -01:59:48.58 10.304 -0.111 -0.621 -0.048 -0.060 -0.108  88  78 0.0006 0.0006 0.0019 0.0004 0.0006     4.8    -2.5  ______  10.517 0.026 10.588 0.023 10.635 0.021  44.41532  -1.99681  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.12
SA94-251    02:57:46.982 +00:16:02.72 11.204 +1.219 +1.281 +0.659 +0.586 +1.245 115 107 0.0005 0.0006 0.0018 0.0003 0.0005    24.9    -7.3  K1III_   9.003 0.027  8.425 0.051  8.284 0.033  44.44579  +0.26739  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  10.58
SA94-702    02:58:13.362 +01:10:54.30 11.597 +1.416 +1.617 +0.757 +0.675 +1.431 114 106 0.0006 0.0007 0.0028 0.0004 0.0005    -0.9    -3.4  K2:___   9.131 0.024  8.410 0.053  8.223 0.021  44.55567  +1.18178  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.75
GD-50       03:48:50.19  -00:58:32.0  14.063 -0.276 -1.191 -0.147 -0.180 -0.325  47  28 0.0032 0.0036 0.0051 0.0042 0.0102    89.0  -166.0  ______  14.747 0.030 14.863 0.038 15.120 0.138  57.20912  -0.97556  0.0 14.396 14.688 14.802 14.878 14.990 10.75
SA95-15     03:52:40.330 -00:05:22.77 11.302 +0.712 +0.157 +0.424 +0.385 +0.809   2   1 0.0007 0.0007 0.0035 0.0014 0.0028    -5.3   -18.0  G5V___   9.960 0.024  9.581 0.021  9.543 0.021  58.16805  -0.08968  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.91
SA95-16     03:52:40.63  -00:05:05.6  14.313 +1.306 +1.322 +0.796 +0.676 +1.472   4   2 0.0120 0.0160 0.0310 0.0135 0.0090   -18.0   -22.0  ______  11.918 0.022 11.268 0.021 11.142 0.023  58.16928  -0.08490  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.30
SA95-301    03:52:41.167 +00:31:21.44 11.216 +1.293 +1.298 +0.692 +0.620 +1.311  51  44 0.0012 0.0005 0.0020 0.0005 0.0012     1.8   -10.6  G8III_   8.911 0.034  8.296 0.036  8.140 0.027  58.17153  +0.52260  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.32
SA95-302    03:52:42.176 +00:31:17.71 11.694 +0.825 +0.447 +0.471 +0.420 +0.891  29  20 0.0020 0.0015 0.0056 0.0013 0.0017    39.2   -44.1  G7:___  10.184 0.021  9.779 0.024  9.682 0.022  58.17572  +0.52157  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.41
SA95-96     03:52:54.194 +00:00:18.82 10.010 +0.147 +0.077 +0.079 +0.095 +0.174  71  56 0.0015 0.0012 0.0027 0.0010 0.0013    13.4    -2.0  A0____   9.647 0.022  9.587 0.022  9.559 0.021  58.22582  +0.00522  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.03
SA95-97     03:52:57.503 -00:00:19.28 14.818 +0.906 +0.380 +0.522 +0.546 +1.068   2   1 0.0007 0.0226 0.0212 0.0028 0.0212    -6.6   -13.6  ______  13.098 0.021 12.612 0.024 12.552 0.029  58.23960  -0.00535  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.36
SA95-98     03:53:00.23  +00:02:48.4  14.448 +1.181 +1.092 +0.723 +0.620 +1.342   2   1 0.0007 0.0014 0.0177 0.0092 0.0163   -24.0   -64.0  ______  12.283 0.024 11.761 0.024 11.554 0.029  58.25096  +0.04677  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.56
SA95-100    03:53:00.791 +00:00:15.81 15.633 +0.791 +0.051 +0.538 +0.421 +0.961   3   1 0.0283 0.0785 0.1132 0.0144 0.0439    10.4    -3.0  ______  13.960 0.029 13.613 0.029 13.442 0.038  58.25326  +0.00441  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.02
SA95-101    03:53:04.14  +00:02:49.5  12.677 +0.778 +0.263 +0.436 +0.426 +0.863   2   1 0.0028 0.0028 0.0099 0.0064 0.0120   -28.0   -62.0  ______  11.188 0.023 10.823 0.026 10.769 0.023  58.26727  +0.04707  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.18
SA95-102    03:53:07.588 +00:01:10.73 15.622 +1.001 +0.162 +0.448 +0.618 +1.065   3   1 0.0335 0.0803 0.0612 0.0115 0.0618     3.5   -13.0  ______  13.915 0.029 13.466 0.029 13.368 0.034  58.28161  +0.01968  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.05
SA95-252    03:53:10.636 +00:27:22.74 15.394 +1.452 +1.178 +0.816 +0.747 +1.566   6   3 0.0065 0.0257 0.0433 0.0090 0.0131     4.2    -4.6  ______  12.675 0.024 11.988 0.025 11.806 0.029  58.29429  +0.45632  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.50
SA95-190    03:53:13.251 +00:16:22.62 12.627 +0.287 +0.236 +0.195 +0.220 +0.415  44  22 0.0020 0.0017 0.0039 0.0017 0.0021     0.5    -2.2  ______  11.871 0.023 11.746 0.023 11.723 0.025  58.30518  +0.27298  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.21
SA95-193    03:53:20.593 +00:16:34.57 14.338 +1.211 +1.239 +0.748 +0.616 +1.366  20  10 0.0049 0.0063 0.0255 0.0042 0.0058     9.9   -10.0  ______  12.084 0.021 11.464 0.023 11.359 0.025  58.33581  +0.27631  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.46
SA95-105    03:53:21.329 -00:00:18.64 13.574 +0.976 +0.627 +0.550 +0.536 +1.088   1   1 0.009  0.009  0.009  0.009  0.009     -6.8   -16.3  ______  11.770 0.024 11.312 0.025 11.174 0.019  58.33882  -0.00517  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.73
SA95-106    03:53:25.190 +00:01:22.64 15.137 +1.251 +0.369 +0.394 +0.508 +0.903   2   1 0.0064 0.0615 0.0240 0.1520 0.1407     9.5    -2.2  ______  13.171 0.026 12.701 0.023 12.587 0.026  58.35492  +0.02299  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  14.49
SA95-107    03:53:25.66  +00:02:20.5  16.275 +1.324 +1.115 +0.947 +0.962 +1.907   2   1 0.0035 0.1068 0.1732 0.0438 0.0212     0.0     0.0  ______  13.292 0.024 12.587 0.022 12.384 0.023  58.35690  +0.03902  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.19
SA95-112    03:53:40.114 -00:01:11.42 15.502 +0.662 +0.077 +0.605 +0.620 +1.227   1   1 0.009  0.009  0.009  0.009  0.009     -2.1    -3.1  ______  13.521 0.024 13.093 0.022 13.068 0.034  58.41715  -0.01981  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.67
SA95-41     03:53:41.201 -00:02:32.41 14.060 +0.903 +0.297 +0.589 +0.585 +1.176   1   1 0.009  0.009  0.009  0.009  0.009     15.0   -21.3  ______  12.023 0.024 11.553 0.022 11.464 0.021  58.42170  -0.04232  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.44
SA95-42     03:53:43.68  -00:04:33.9  15.606 -0.215 -1.111 -0.119 -0.180 -0.300  41  18 0.0058 0.0073 0.0064 0.0075 0.0276   -20.0   -96.0  ______  16.130 0.066 16.305 0.169 16.075 0.021  58.43199  -0.07607  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.81
SA95-317    03:53:44.183 +00:29:50.02 13.449 +1.320 +1.120 +0.768 +0.708 +1.476  24  11 0.0035 0.0067 0.0131 0.0033 0.0035     7.7   -11.0  ______  10.902 0.023 10.299 0.022 10.145 0.021  58.43410  +0.49724  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.59
SA95-263    03:53:47.002 +00:26:40.82 12.679 +1.500 +1.559 +0.801 +0.711 +1.513  19  10 0.0030 0.0034 0.0094 0.0023 0.0028     2.9    -9.8  ______  10.037 0.023  9.386 0.022  9.178 0.019  58.44584  +0.44470  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.86
SA95-115    03:53:47.821 -00:00:47.39 14.680 +0.836 +0.096 +0.577 +0.579 +1.157   1   1 0.009  0.009  0.009  0.009  0.009      6.1    -8.4  ______  12.740 0.023 12.274 0.023 12.180 0.024  58.44925  -0.01314  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.08
SA95-43     03:53:48.609 -00:03:01.74 10.803 +0.510 -0.016 +0.308 +0.316 +0.624  16  10 0.0022 0.0020 0.0027 0.0027 0.0035     5.4   -12.7  ______   9.761 0.023  9.511 0.022  9.473 0.024  58.45255  -0.05045  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.33
SA95-271    03:54:16.298 +00:18:52.20 13.669 +1.287 +0.916 +0.734 +0.717 +1.453  15   7 0.0057 0.0080 0.0127 0.0023 0.0036     7.2    -4.0  ______  11.117 0.026 10.496 0.029 10.323 0.021  58.56791  +0.31449  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.82
SA95-328    03:54:19.470 +00:36:31.79 13.525 +1.532 +1.298 +0.908 +0.868 +1.776  23  11 0.0029 0.0054 0.0186 0.0027 0.0031     7.1    -3.2  ______  10.428 0.021  9.694 0.024  9.493 0.023  58.58111  +0.60886  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.53
SA95-329    03:54:23.90  +00:37:07.1  14.617 +1.184 +1.093 +0.766 +0.642 +1.410  13   6 0.0047 0.0103 0.0311 0.0044 0.0089   -40.0   -24.0  ______  12.262 0.023 11.604 0.026 11.497 0.023  58.59959  +0.61864  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.69
SA95-330    03:54:30.757 +00:29:05.34 12.174 +1.999 +2.233 +1.166 +1.100 +2.268  47  23 0.0025 0.0026 0.0137 0.0020 0.0028     0.9    -9.3  ______   8.299 0.027  7.304 0.038  6.997 0.023  58.62815  +0.48479  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.89
SA95-275    03:54:44.246 +00:27:20.28 13.479 +1.763 +1.740 +1.011 +0.931 +1.944  40  20 0.0028 0.0054 0.0201 0.0022 0.0025     4.2    -2.9  ______  10.114 0.027  9.293 0.022  9.084 0.024  58.68435  +0.45565  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.21
SA95-276    03:54:45.878 +00:25:54.10 14.118 +1.225 +1.218 +0.748 +0.646 +1.395  14   7 0.0061 0.0102 0.0216 0.0040 0.0051    35.0   -18.4  ______  11.795 0.026 11.198 0.022 11.030 0.021  58.69115  +0.43173  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.36
SA95-60     03:54:49.54  -00:07:04.1  13.429 +0.776 +0.197 +0.464 +0.449 +0.914  20  10 0.0031 0.0031 0.0060 0.0029 0.0034    18.0     0.0  ______  11.877 0.023 11.441 0.022 11.379 0.024  58.70642  -0.11782  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.98
SA95-218    03:54:49.948 +00:10:08.39 12.095 +0.708 +0.208 +0.397 +0.370 +0.767  20  14 0.0034 0.0022 0.0034 0.0020 0.0027    -6.3    -1.1  G2V___  10.799 0.023 10.478 0.022 10.416 0.024  58.70813  +0.16905  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  11.58
SA95-132    03:54:51.685 +00:05:21.42 12.067 +0.445 +0.311 +0.263 +0.287 +0.546  41  35 0.0012 0.0013 0.0020 0.0010 0.0020    -2.7   -10.1  A4____  11.083 0.023 10.915 0.023 10.817 0.021  58.71538  +0.08926  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.26
SA95-62     03:55:00.406 -00:02:54.09 13.538 +1.355 +1.181 +0.742 +0.685 +1.428  22  11 0.0030 0.0053 0.0136 0.0019 0.0028     0.8    -1.9  ______  11.032 0.024 10.357 0.021 10.188 0.023  58.75169  -0.04838  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.78
SA95-137    03:55:03.73  +00:03:26.7  14.440 +1.457 +1.136 +0.893 +0.845 +1.737   1   1 0.009  0.009  0.009  0.009  0.009    -36.0   -80.0  ______  11.712 0.024 11.118 0.027 10.889 0.023  58.76553  +0.05741  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.60
SA95-139    03:55:04.67  +00:03:07.9  12.196 +0.923 +0.677 +0.562 +0.476 +1.039   3   2 0.0017 0.0046 0.0191 0.0023 0.0035  -206.0   -78.0  ______  10.461 0.023  9.983 0.027  9.862 0.021  58.76946  +0.05219  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  11.53
SA95-66     03:55:06.519 -00:09:31.90 12.892 +0.715 +0.167 +0.426 +0.438 +0.864   2   1 0.0021 0.0071 0.0035 0.0007 0.0049     5.6    -7.2  F8:___  11.440 0.023 11.144 0.023 11.043 0.019  58.77715  -0.15889  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.50
SA95-227    03:55:08.76  +00:14:34.5  15.779 +0.771 +0.034 +0.515 +0.552 +1.067  14   7 0.0118 0.0289 0.0417 0.0115 0.0150    64.0   -28.0  ______  14.065 0.030 13.491 0.026 13.476 0.048  58.78650  +0.24292  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  15.09
SA95-142    03:55:09.394 +00:01:20.57 12.927 +0.588 +0.097 +0.371 +0.375 +0.745  22  11 0.0030 0.0030 0.0036 0.0019 0.0028    -7.7    -0.8  ______  11.680 0.024 11.425 0.022 11.347 0.021  58.78918  +0.02238  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.46
SA95-74     03:55:31.141 -00:09:13.57 11.531 +1.126 +0.686 +0.600 +0.567 +1.165  40  35 0.0015 0.0013 0.0029 0.0013 0.0013     0.0     2.1  G8V:__   9.517 0.026  8.965 0.023  8.815 0.023  58.87976  -0.15378  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.88
SA95-231    03:55:38.828 +00:10:43.42 14.216 +0.452 +0.297 +0.270 +0.290 +0.560  26  13 0.0043 0.0045 0.0071 0.0045 0.0076    -0.2   -11.1  ______  13.196 0.024 12.999 0.025 12.937 0.032  58.91173  +0.17870  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.81
SA95-284    03:55:41.552 +00:26:37.73 13.669 +1.398 +1.073 +0.818 +0.766 +1.586  20   9 0.0040 0.0078 0.0239 0.0027 0.0049     9.0    -0.5  ______  10.878 0.022 10.271 0.025 10.041 0.021  58.92314  +0.44381  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  12.90
SA95-285    03:55:44.114 +00:25:09.96 15.561 +0.937 +0.703 +0.607 +0.602 +1.210   2   1 0.0071 0.0255 0.0636 0.0071 0.0134     2.9    -8.1  ______  13.533 0.022 13.145 0.022 13.079 0.034  58.93383  +0.41942  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.87
SA95-149    03:55:44.444 +00:07:02.91 10.938 +1.593 +1.564 +0.874 +0.811 +1.685  17  11 0.0051 0.0039 0.0095 0.0024 0.0029    21.5   -20.0  G8IV__   7.988 0.021  7.236 0.036  6.994 0.026  58.93512  +0.11748  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   9.96
SA95-236    03:56:13.342 +00:08:47.06 11.487 +0.737 +0.168 +0.419 +0.412 +0.831  43  39 0.0004 0.0010 0.0021 0.0008 0.0010    14.7    40.8  G5IV__  10.060 0.023  9.720 0.022  9.624 0.019  59.05559  +0.14644  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.99
SA96-21     04:51:15.760 -00:14:50.30 12.182 +0.490 -0.004 +0.299 +0.297 +0.598   2   1 0.0028 0.0007 0.0028 0.0057 0.0035     4.8    -4.1  F5____  11.212 0.026 10.962 0.023 10.938 0.019  72.81565  -0.24730  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.15
SA96-36     04:51:42.401 -00:10:09.47 10.589 +0.247 +0.118 +0.133 +0.137 +0.271  73  63 0.0005 0.0006 0.0011 0.0005 0.0008   -13.8    -0.7  A2____  10.204 0.029 10.133 0.032 10.099 0.027  72.92667  -0.16933  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.39
SA96-737    04:52:35.366 +00:22:30.03 11.719 +1.338 +1.146 +0.735 +0.696 +1.432  62  53 0.0009 0.0010 0.0022 0.0004 0.0007     6.1   -11.7  ______   9.296 0.024  8.574 0.049  8.413 0.033  73.14735  +0.37499  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.87
SA96-409    04:52:58.515 +00:09:04.14 13.778 +0.543 +0.042 +0.340 +0.340 +0.682   2   1 0.0106 0.0007 0.0240 0.0085 0.0127    13.1   -17.0  ______  12.676 0.028 12.425 0.023 12.386 0.030  73.24380  +0.15112  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.69
SA96-83     04:52:58.856 -00:14:41.18 11.719 +0.181 +0.205 +0.092 +0.096 +0.189  76  65 0.0005 0.0005 0.0015 0.0005 0.0008    -1.4    -1.5  A3____  11.343 0.024 11.311 0.024 11.245 0.025  73.24524  -0.24478  0.0 11.37  11.378 11.329 11.264 11.241 12.45
SA96-235    04:53:18.870 -00:05:01.54 11.138 +1.077 +0.890 +0.557 +0.509 +1.066  70  60 0.0005 0.0007 0.0012 0.0003 0.0005     2.6     1.2  G9III_   9.289 0.024  8.782 0.053  8.634 0.021  73.32863  -0.08378  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.49
G97-42      05:28:00.15  +09:38:38.3  12.443 +1.639 +1.259 +1.171 +1.485 +2.655  23  11 0.0017 0.0035 0.0186 0.0025 0.0033  -196.8  -759.5  ______   8.311 0.021  7.840 0.033  7.542 0.017  82.00062  +9.64396  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.49
G102-22     05:42:09.273 +12:29:21.60 11.509 +1.621 +1.134 +1.211 +1.590 +2.800  20  10 0.0013 0.0027 0.0074 0.0034 0.0042  1988.5 -1571.7  ______   7.124 0.021  6.627 0.018  6.389 0.016  85.53740 +12.49035  5.8 -9.99  -9.99  -9.99  -9.99  -9.99  10.45
GD-71C      05:52:12.777 +15:52:44.30 12.325 +1.159 +0.849 +0.655 +0.628 +1.274  19  11 0.0017 0.0022 0.0057 0.0012 0.0017    -2.0    -5.4  ______  10.077 0.021  9.486 0.019  9.347 0.017  88.05326 +15.87897  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.77
GD-71E      05:52:20.51  +15:52:08.1  13.634 +0.824 +0.428 +0.472 +0.423 +0.892  14   7 0.0013 0.0027 0.0082 0.0012 0.0037    -4.0   -26.0  ______  12.169 0.022 11.794 0.022 11.691 0.021  88.08546 +15.86891  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.27
GD-71B      05:52:21.530 +15:52:41.61 12.599 +0.680 +0.166 +0.404 +0.399 +0.800  19  11 0.0018 0.0020 0.0026 0.0015 0.0015    -7.7   -20.0  ______  11.291 0.022 10.971 0.020 10.907 0.018  88.08972 +15.87826  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.28
GD-71D      05:52:24.788 +15:54:58.01 12.898 +0.570 +0.097 +0.359 +0.363 +0.719  19  11 0.0018 0.0020 0.0038 0.0017 0.0024    -1.0    -3.0  ______  11.707 0.022 11.425 0.021 11.340 0.018  88.10329 +15.91615  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.58
GD-71       05:52:27.619 +15:53:13.23 13.033 -0.248 -1.110 -0.138 -0.166 -0.304 129 115 0.0011 0.0009 0.0010 0.0009 0.0021    76.4  -171.0  ______  13.728 0.025 13.901 0.035 14.115 0.065  88.11506 +15.88715  0.5 13.398 13.657 13.710 13.805 13.899 12.90
GD-71A      05:52:33.562 +15:51:59.38 12.643 +1.176 +0.897 +0.651 +0.621 +1.265  24  12 0.0013 0.0021 0.0051 0.0009 0.0016     0.8    -4.6  ______  10.441 0.022  9.857 0.022  9.711 0.018  88.13985 +15.86652  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.09
SA97-249    05:57:07.560 +00:01:11.50 11.735 +0.647 +0.101 +0.369 +0.354 +0.725 105  98 0.0007 0.0007 0.0011 0.0005 0.0008    15.2     1.2  G5V___  10.499 0.026 10.237 0.024 10.110 0.021  89.28151  +0.01986  0.0 10.75  -9.99  10.471 10.176 10.126 11.39
SA97-345    05:57:33.181 +00:21:16.54 11.605 +1.652 +1.706 +0.929 +0.843 +1.772  30  21 0.0015 0.0014 0.0092 0.0010 0.0013     7.5    -6.0  G8III:   8.483 0.029  7.754 0.047  7.553 0.023  89.38825  +0.35460  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  10.63
SA97-351    05:57:37.294 +00:13:43.99  9.779 +0.201 +0.092 +0.124 +0.140 +0.264 136 117 0.0005 0.0006 0.0012 0.0005 0.0007    -0.2    -0.9  A0____   9.249 0.024  9.194 0.022  9.141 0.023  89.40538  +0.22891  0.1 -9.99  -9.99  -9.99  -9.99  -9.99   9.61
SA97-75     05:57:55.085 -00:09:28.55 11.483 +1.872 +2.100 +1.047 +0.952 +1.999  20  12 0.0038 0.0047 0.0101 0.0029 0.0038     3.0    -6.0  K5:___   7.983 0.021  7.109 0.047  6.822 0.017  89.47952  -0.15791  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  10.83
SA97-284    05:58:25.033 +00:05:13.57 10.787 +1.364 +1.089 +0.774 +0.726 +1.500 110 101 0.0006 0.0008 0.0020 0.0005 0.0007    -2.1    -4.9  G8III_   8.146 0.026  7.544 0.051  7.346 0.029  89.60434  +0.08715  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   9.73
SA97-224    05:58:44.042 -00:05:10.37 14.085 +0.910 +0.341 +0.553 +0.547 +1.102   2   1 0.0127 0.0177 0.0049 0.0120 0.009     -3.3   -16.0  ______  12.287 0.030 11.884 0.030 11.784 0.029  89.68353  -0.08624  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.49
SA98-961    06:51:26.994 -00:15:36.06 13.089 +1.283 +1.003 +0.701 +0.662 +1.362   2   1 0.0021 0.0007 0.0014 0.0021 0.0021    -5.3    -6.7  ______  10.660 0.022 10.074 0.022  9.900 0.023 102.86248  -0.26000  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.07
SA98-966    06:51:28.304 -00:16:25.44 14.001 +0.469 +0.357 +0.283 +0.331 +0.613   2   1 0.0035 0.0014 0.0021 0.0014 0.0205    -5.3    -7.4  ______  12.893 0.022 12.678 0.023 12.629 0.029 102.86793  -0.27373  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  13.97
SA98-557    06:51:29.506 -00:25:06.29 14.780 +1.397 +1.072 +0.755 +0.741 +1.494   2   1 0.0007 0.0544 0.0269 0.0092 0.0198    -3.6   -12.0  ______  12.132 0.022 11.479 0.022 11.312 0.021 102.87295  -0.41841  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.12
