#Title: UBVRI Photometric Standard Stars Around The Celestial Equator: Updates and Additions.   Landolt, 2009, AJ 137, 4186
#Author: Landolt A.U. Table: UBVRI Photometry of Standard Stars   aj298675t2_mrt.txt   PM (mas/yr)added from table5 aj298675t5_mrt.txt. 
# Blanks removed from name strings, Colons in coords, Errors for single obs changed from blanks to 0.009, DLtypes where available from: Drilling & Landolt 1979, AJ, 84, 783 
# Tphe-E removed, 0-593 stars.  SA92-260 & SA109-956 coords (and 2mass) corrected
#-------------------------------------------------------Landolt 2009------------------------------------------------------------------------------|------------------- 2MASS ---------------------------------------|----------------UKIRT-----------|-NOMAD
name       RhRmRs      Dddmds      V     B-V    U-B    V-R    R-I    V-I     n   m   eV    eBV    eUB    eVR    eVI     pmRA     pmDE  DLtype    J2m  meJ2m   H2m  meH2m   K2m  meK2m    2mra      2mde   d2m"    Zv     Yv    Jmko   Hmko  Kmko    Rn 
SA92-312    00:53:16.533 +00:48:28.90 10.598 +1.636 +1.992 +0.898 +0.906 +1.806   5   5 0.0014 0.0025 0.0061 0.0005 0.0011    -0.3    -5.5  ______   7.568 0.021  6.733 0.033  6.477 0.018  13.31889  +0.80796  0.2 -9.99  -9.99  -9.99  -9.99  -9.99   9.66
SA92-322    00:53:46.962 +00:47:34.91 12.676 +0.528 -0.002 +0.302 +0.305 +0.608   2   1 0.0007 0.0049 0.0028 0.0014 0.0007     0.2   -12.2  ______  11.666 0.023 11.393 0.023 11.383 0.023  13.44563  +0.79303  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  12.28
SA92-245    00:54:16.14  +00:39:54.6  13.818 +1.418 +1.189 +0.929 +0.907 +1.836  21   8 0.0028 0.0079 0.0301 0.0024 0.0028    26.0    24.0  ______  10.991 0.031 10.289 0.022 10.129 0.021  13.56724  +0.66518  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.69
SA92-248    00:54:30.77  +00:40:16.9  15.346 +1.128 +1.289 +0.690 +0.553 +1.245   4   2 0.0255 0.0160 0.0955 0.0215 0.0175    16.0     6.0  ______  13.360 0.029 12.789 0.032 12.624 0.027  13.62821  +0.67137  0.0 -9.99  -9.99  -9.99  -9.99  -9.99  14.61
SA92-249    00:54:33.589 +00:41:05.39 14.325 +0.699 +0.240 +0.399 +0.370 +0.770  17   8 0.0049 0.0085 0.0114 0.0046 0.0073    10.4   -10.6  ______  13.052 0.024 12.701 0.023 12.603 0.024  13.63992  +0.68481  0.2 -9.99  -9.99  -9.99  -9.99  -9.99  13.86
SA92-250    00:54:37.154 +00:38:57.57 13.178 +0.814 +0.480 +0.446 +0.394 +0.840  20   9 0.0022 0.0034 0.0074 0.0022 0.0029    40.1    -8.1  ______  11.791 0.026 11.429 0.026 11.298 0.024  13.65479  +0.64931  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  12.52
SA92-330    00:54:43.371 +00:43:26.09 15.073 +0.568 -0.115 +0.331 +0.334 +0.666   2   1 0.0141 0.0297 0.0163 0.0304 0.0304     8.1   -10.6  ______  13.864 0.033 13.521 0.030 13.441 0.043  13.68069  +0.72389  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  14.82
SA92-252    00:54:47.255 +00:39:24.55 14.932 +0.517 -0.140 +0.326 +0.332 +0.666  41  18 0.0033 0.0055 0.0082 0.0047 0.0068    -5.6   -18.2  ______  13.796 0.027 13.456 0.029 13.426 0.039  13.69683  +0.65679  0.3 -9.99  -9.99  -9.99  -9.99  -9.99  14.69
SA92-253    00:54:51.364 +00:40:19.73 14.085 +1.131 +0.955 +0.719 +0.616 +1.337  39  17 0.0032 0.0062 0.0221 0.0027 0.0050    20.3   -27.6  ______  11.929 0.030 11.284 0.026 11.155 0.019  13.71403  +0.67217  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  13.28
SA92-335    00:54:58.294 +00:44:00.63 12.523 +0.672 +0.208 +0.380 +0.338 +0.719   2   1 0.0007 0.0028 0.0049 0.009  0.0014   -14.7   -11.4  ______  11.302 0.027 10.989 0.024 11.000 0.023  13.74292  +0.73350  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  11.87
SA92-339    00:55:03.25  +00:44:11.0  15.579 +0.449 -0.177 +0.306 +0.339 +0.645  19   8 0.0087 0.0117 0.0126 0.0117 0.0177    16.0   -10.0  ______  14.518 0.034 14.210 0.036 14.182 0.058  13.76353  +0.73639  0.1 -9.99  -9.99  -9.99  -9.99  -9.99  15.26
SA92-342    00:55:09.905 +00:43:12.88 11.615 +0.435 -0.037 +0.265 +0.271 +0.537  73  59 0.0008 0.0006 0.0016 0.0007 0.0012    -1.9    -1.4  F5____  10.725 0.026 10.515 0.026 10.453 0.019  13.79128  +0.72025  0.0 10.87  -9.99  10.699 10.495 10.470 11.62
