WAVELENGTH,FLUX,CONTINUUM,WAVELENGTH [um]
900.3887265718822,1.241984e-17,1.7006848e-17,0.09003887265718824
901.2913907525707,1.6808447e-17,1.7443328e-17,0.09012913907525709
902.1949364217671,1.7856e-17,1.7879808e-17,0.09021949364217673
903.0993879275725,1.829248e-17,1.833216e-17,0.09030993879275727
904.0047460699305,1.8713087e-17,1.8800384e-17,0.09040047460699308
904.9110119487649,1.9228928e-17,1.9268608e-17,0.09049110119487651
905.8181862640259,1.9752704e-17,1.976064e-17,0.0905818186264026
906.7262700156441,2.0252672e-17,2.0252672e-17,0.09067262700156442
907.635264203549,2.0768512e-17,2.0768512e-17,0.09076352642035491
908.5451696276851,2.1292287e-17,2.1284351e-17,0.09085451696276853
909.4559871879892,2.1823999e-17,2.1823999e-17,0.09094559871879894
910.3677178843914,2.237952e-17,2.2371584e-17,0.09103677178843915
911.2803626168285,2.297472e-17,2.293504e-17,0.09112803626168287
912.1939221852448,2.3784192e-17,5.5861504e-14,0.0912193922185245
913.1083976895633,2.6022144e-17,5.9027964e-14,0.09131083976895635
914.0237899297277,4.7274752e-17,6.2361086e-14,0.0914023789929728
914.9400998056756,3.6473855e-16,6.5757695e-14,0.09149400998056757
915.8573283173364,2.3593728e-15,6.925747e-14,0.09158573283173366
916.7754763646475,6.8678143e-15,7.2884224e-14,0.09167754763646477
917.6945448475459,1.1554816e-14,7.660621e-14,0.09176945448475461
918.6145347659614,1.5411712e-14,8.039168e-14,0.09186145347659615
919.5354469198383,1.9451136e-14,8.435968e-14,0.09195354469198384
920.4572822091134,2.2292223e-14,8.840704e-14,0.09204572822091135
921.38004173371,2.630784e-14,9.253376e-14,0.09213800417337101
922.3037262935718,2.910131e-14,9.68192e-14,0.0922303726293572
923.2283368886289,3.1378942e-14,1.0110464e-13,0.0923228336888629
924.1538743188255,4.613197e-14,1.0562816e-13,0.09241538743188257
925.0803396840844,4.6814464e-14,1.1015168e-13,0.09250803396840845
926.0077337843497,3.628339e-14,1.1483392e-13,0.09260077337843499
926.9360576195517,5.0679296e-14,1.1959552e-13,0.09269360576195518
927.8653120896269,7.5265023e-14,1.2443647e-13,0.0927865312089627
928.7954981945057,7.8002946e-14,1.293568e-13,0.0928795498194506
929.7266167341321,5.6607486e-14,1.3443584e-13,0.09297266167341323
930.658668808429,4.0068863e-14,1.3959424e-13,0.09306586688084291
931.5916552173404,6.044058e-14,1.44832e-13,0.09315916552173406
932.5255768608033,9.4200316e-14,1.5022848e-13,0.09325255768608035
933.460434838741,1.154688e-13,1.5562496e-13,0.09334604348387411
934.3962300510902,1.2189696e-13,1.6118016e-13,0.09343962300510904
935.3329633977881,1.134848e-13,1.6681472e-13,0.09353329633977883
936.2706357787716,8.713728e-14,1.7252864e-13,0.09362706357787719
937.2092481939711,5.367117e-14,1.7832192e-13,0.09372092481939713
938.148801543323,5.3393406e-14,1.8419455e-13,0.09381488015433231
939.0892968267578,9.237504e-14,1.9022591e-13,0.0939089296826758
940.0307349442123,1.2896e-13,1.9625728e-13,0.09400307349442125
940.9731167956237,1.4951424e-13,2.0244735e-13,0.09409731167956238
941.9164434809147,1.6205312e-13,2.0863744e-13,0.09419164434809149
942.8607158000298,1.6895743e-13,2.1498623e-13,0.09428607158000299
943.8059347528986,1.7117952e-13,2.2133504e-13,0.09438059347528988
944.7521013394512,1.622912e-13,2.277632e-13,0.09447521013394514
945.6992163596319,1.559424e-13,2.3435008e-13,0.09456992163596321
946.6472809133634,1.5927552e-13,2.4093696e-13,0.09466472809133636
947.5962960005759,1.4419711e-13,2.476032e-13,0.0947596296000576
948.5462623212204,1.0070784e-13,2.543488e-13,0.09485462623212206
949.4971810752129,6.303565e-14,2.610944e-13,0.0949497181075213
950.4490531624903,8.816896e-14,2.6807807e-13,0.09504490531624904
951.4018793829971,1.4816512e-13,2.7490304e-13,0.09514018793829973
952.3556609366485,1.8760704e-13,2.8164865e-13,0.09523556609366488
953.3103985233961,2.0871679e-13,2.8871168e-13,0.09533103985233962
954.266093343156,2.3181056e-13,2.960128e-13,0.09542660933431561
955.2227461958719,2.555392e-13,3.0291712e-13,0.0955222746195872
956.1803581814671,2.7649023e-13,3.1013888e-13,0.09561803581814673
957.1389300998853,2.9236224e-13,3.1728128e-13,0.09571389300998855
958.0984629510568,2.973619e-13,3.2442367e-13,0.0958098462951057
959.0589577349115,2.9926655e-13,3.3156607e-13,0.09590589577349116
960.0204155513727,2.9815552e-13,3.388672e-13,0.0960020415551373
960.9828371003908,3.043456e-13,3.4616833e-13,0.0960982837100391
961.9462234818894,3.1196416e-13,3.5346942e-13,0.09619462234818896
962.9105756957983,3.097421e-13,3.6069119e-13,0.09629105756957985
963.8758947420474,2.9410816e-13,3.6791295e-13,0.09638758947420475
964.8421814205811,2.9339392e-13,3.751347e-13,0.09648421814205813
965.809436831322,3.2037632e-13,3.825152e-13,0.09658094368313222
966.7776618742075,3.3918463e-13,3.896576e-13,0.09667776618742077
967.7468576491603,3.3791486e-13,3.9672063e-13,0.09677468576491605
968.7170249561245,3.2172545e-13,4.0410112e-13,0.09687170249561247
969.6881648950234,2.85696e-13,4.110848e-13,0.09696881648950235
970.6602784657866,2.198272e-13,4.1838592e-13,0.09706602784657868
971.6333664683584,1.2983295e-13,4.253696e-13,0.09716333664683587
972.6074301026549,9.08672e-14,4.3227393e-13,0.09726074301026551
973.5824701686199,1.5729152e-13,4.3941633e-13,0.097358247016862
974.5584877661764,2.5744383e-13,4.4632063e-13,0.09745584877661766
975.5354837952618,3.3180416e-13,4.531456e-13,0.0975535483795262
976.5134592558056,3.7767424e-13,4.5973246e-13,0.09765134592558058
977.492415147738,4.0052992e-13,4.6655746e-13,0.09774924151477382
978.4723523709964,4.1513215e-13,4.7306495e-13,0.09784723523709966
979.4532720255033,4.2957567e-13,4.795725e-13,0.09794532720255035
980.435175111189,4.3838463e-13,4.860006e-13,0.09804351751111892
981.4180625279904,4.4346368e-13,4.921907e-13,0.09814180625279906
982.4019352758377,4.5282815e-13,4.983808e-13,0.09824019352758379
983.3867943546609,4.6163713e-13,5.044915e-13,0.0983386794354661
984.3726407643898,4.5758975e-13,5.1036416e-13,0.09843726407643899
985.3594755049545,4.601293e-13,5.162368e-13,0.09853594755049547
986.3472994762923,4.7425535e-13,5.21792e-13,0.09863472994762924
987.3361138783189,4.598118e-13,5.273472e-13,0.0987336113878319
988.3259194109853,4.261632e-13,5.3258494e-13,0.09883259194109854
989.3167173742008,3.9672063e-13,5.379021e-13,0.0989316717374201
990.3085084679163,3.9235583e-13,5.428224e-13,0.09903085084679165
991.301293892048,4.3838463e-13,5.47584e-13,0.09913012938920482
992.2950746465254,4.749696e-13,5.5226624e-13,0.09922950746465256
993.289851631286,4.8631807e-13,5.567104e-13,0.09932898516312862
994.2856258462597,4.632243e-13,5.6115453e-13,0.09942856258462598
995.2823982913765,4.6790653e-13,5.650432e-13,0.09952823982913767
996.2801700665593,4.948096e-13,5.6893184e-13,0.09962801700665595
997.2789421717385,5.062374e-13,5.725824e-13,0.09972789421717387
998.2787154068576,5.166336e-13,5.7599487e-13,0.09982787154068577
999.2794909718332,5.280614e-13,5.817088e-13,0.09992794909718333
1000.2812698665948,5.4393344e-13,5.8988285e-13,0.1000281269866595
1001.2840529910798,5.616307e-13,5.981363e-13,0.10012840529910799
1002.287841445211,5.749632e-13,6.067072e-13,0.10022878414452112
1003.2926361289254,5.86153e-13,6.1511934e-13,0.10032926361289256
1004.2984382421394,5.906765e-13,6.2384895e-13,0.10042984382421395
1005.3052485847966,5.9075585e-13,6.324992e-13,0.10053052485847967
