WAVELENGTH,FLUX,STATERROR,SYSERROR,FWHM,DATAQUAL,TOTEXP,WAVELENGTH [um]
956.247,2.8400367e-13,0.0,2.8400367e-15,1.912494,1,0.0,0.0956247
957.206,3.0030698e-13,0.0,3.0030698e-15,1.914412,1,0.0,0.09572060000000002
958.166,3.0544252e-13,0.0,3.0544252e-15,1.916332,1,0.0,0.09581660000000003
959.126,3.073989e-13,0.0,3.073989e-15,1.918252,1,0.0,0.09591260000000001
960.088,3.0625768e-13,0.0,3.0625768e-15,1.920176,1,0.0,0.09600880000000002
961.05,3.1261598e-13,0.0,3.1261597e-15,1.9221,1,0.0,0.09610500000000001
962.014,3.2044156e-13,0.0,3.2044156e-15,1.924028,1,0.0,0.09620140000000002
962.978,3.181591e-13,0.0,3.1815909e-15,1.925956,1,0.0,0.09629780000000002
963.943,3.0210033e-13,0.0,3.0210034e-15,1.927886,1,0.0,0.09639430000000002
964.91,3.0136668e-13,0.0,3.0136668e-15,1.92982,1,0.0,0.09649100000000002
965.877,3.2908233e-13,0.0,3.2908232e-15,1.931754,1,0.0,0.09658770000000001
966.845,3.4840173e-13,0.0,3.4840174e-15,1.93369,1,0.0,0.09668450000000002
967.815,3.4709749e-13,0.0,3.4709746e-15,1.93563,1,0.0,0.09678150000000002
968.785,3.304681e-13,0.0,3.3046808e-15,1.93757,1,0.0,0.09687850000000002
969.756,2.934596e-13,0.0,2.9345958e-15,1.939512,1,0.0,0.09697560000000001
970.728,2.2580085e-13,0.0,2.2580084e-15,1.941456,1,0.0,0.09707280000000001
971.701,1.3336108e-13,0.0,1.3336107e-15,1.943402,1,0.0,0.09717010000000002
972.675,9.333645e-14,0.0,9.333645e-16,1.94535,1,0.0,0.0972675
973.651,1.615658e-13,0.0,1.615658e-15,1.947302,1,0.0,0.09736510000000001
974.627,2.644397e-13,0.0,2.6443968e-15,1.949254,1,0.0,0.09746270000000001
975.604,3.4082071e-13,0.0,3.4082069e-15,1.951208,1,0.0,0.09756040000000002
976.582,3.8793727e-13,0.0,3.8793728e-15,1.953164,1,0.0,0.09765820000000001
977.561,4.1141404e-13,0.0,4.1141402e-15,1.955122,1,0.0,0.09775610000000003
978.541,4.2641308e-13,0.0,4.2641307e-15,1.957082,1,0.0,0.09785410000000003
979.522,4.412491e-13,0.0,4.4124907e-15,1.959044,1,0.0,0.09795220000000002
980.504,4.5029743e-13,0.0,4.502974e-15,1.961008,1,0.0,0.09805040000000002
981.487,4.555145e-13,0.0,4.555145e-15,1.962974,1,0.0,0.09814870000000002
982.471,4.6513347e-13,0.0,4.6513345e-15,1.964942,1,0.0,0.09824710000000002
983.456,4.741818e-13,0.0,4.7418175e-15,1.966912,1,0.0,0.09834560000000002
984.442,4.700244e-13,0.0,4.7002443e-15,1.968884,1,0.0,0.09844420000000002
985.428,4.7263295e-13,0.0,4.7263295e-15,1.970856,1,0.0,0.09854280000000001
986.416,4.8714293e-13,0.0,4.871429e-15,1.972832,1,0.0,0.09864160000000002
987.405,4.7230687e-13,0.0,4.723069e-15,1.97481,1,0.0,0.09874050000000001
988.395,4.377439e-13,0.0,4.3774387e-15,1.97679,1,0.0,0.09883950000000001
989.386,4.0750124e-13,0.0,4.0750124e-15,1.978772,1,0.0,0.09893860000000002
990.378,4.0301784e-13,0.0,4.030178e-15,1.980756,1,0.0,0.09903780000000002
991.371,4.5029743e-13,0.0,4.502974e-15,1.982742,1,0.0,0.09913710000000002
992.365,4.8787656e-13,0.0,4.8787654e-15,1.98473,1,0.0,0.09923650000000002
993.359,4.995334e-13,0.0,4.995334e-15,1.986718,1,0.0,0.09933590000000002
994.355,4.758121e-13,0.0,4.758121e-15,1.98871,1,0.0,0.09943550000000002
995.352,4.8062156e-13,0.0,4.8062157e-15,1.990704,1,0.0,0.09953520000000002
996.35,5.082557e-13,0.0,5.082557e-15,1.9927,1,0.0,0.09963500000000002
997.349,5.199941e-13,0.0,5.1999408e-15,1.994698,1,0.0,0.09973490000000003
998.349,5.3067273e-13,0.0,5.3067275e-15,1.996698,1,0.0,0.09983490000000002
999.349,5.424111e-13,0.0,5.424111e-15,1.998698,1,0.0,0.09993490000000002
1000.351,5.587144e-13,0.0,5.5871445e-15,2.000702,1,0.0,0.10003510000000002
1001.354,5.7689265e-13,0.0,5.7689263e-15,2.002708,1,0.0,0.10013540000000003
1002.358,5.905874e-13,0.0,5.905874e-15,2.004716,1,0.0,0.10023580000000001
1003.363,6.0208126e-13,0.0,6.0208123e-15,2.006726,1,0.0,0.10033630000000002
1004.369,6.0672767e-13,0.0,6.0672767e-15,2.008738,1,0.0,0.10043690000000002
1005.376,6.068092e-13,0.0,6.068092e-15,2.010752,1,0.0,0.10053760000000002
1006.383,6.062386e-13,0.0,6.062386e-15,2.012766,1,0.0,0.10063830000000003
1007.392,6.1096657e-13,0.0,6.1096656e-15,2.014784,1,0.0,0.10073920000000003
1008.402,6.194443e-13,0.0,6.1944426e-15,2.016804,1,0.0,0.10084020000000002
1009.413,6.2539497e-13,0.0,6.2539496e-15,2.018826,1,0.0,0.10094130000000003
1010.425,6.386822e-13,0.0,6.3868215e-15,2.02085,1,0.0,0.10104250000000001
1011.438,6.5074665e-13,0.0,6.507466e-15,2.022876,1,0.0,0.10114380000000002
1012.452,6.558822e-13,0.0,6.5588218e-15,2.024904,1,0.0,0.10124520000000002
1013.467,6.6704997e-13,0.0,6.6704992e-15,2.026934,1,0.0,0.10134670000000001
1014.483,6.750386e-13,0.0,6.7503855e-15,2.028966,1,0.0,0.10144830000000002
1015.5,6.8596176e-13,0.0,6.8596175e-15,2.031,1,0.0,0.10155000000000002
1016.518,7.058518e-13,0.0,7.058518e-15,2.033036,1,0.0,0.10165180000000003
1017.537,7.121286e-13,0.0,7.1212855e-15,2.035074,1,0.0,0.10175370000000002
1018.557,7.04303e-13,0.0,7.04303e-15,2.037114,1,0.0,0.10185570000000002
1019.578,6.91994e-13,0.0,6.91994e-15,2.039156,1,0.0,0.10195780000000002
1020.601,6.7153336e-13,0.0,6.7153335e-15,2.041202,1,0.0,0.10206010000000001
1021.624,6.417798e-13,0.0,6.417798e-15,2.043248,1,0.0,0.10216240000000001
1022.648,5.713495e-13,0.0,5.713495e-15,2.045296,1,0.0,0.10226480000000002
1023.673,4.368472e-13,0.0,4.368472e-15,2.047346,1,0.0,0.10236730000000002
1024.699,2.5742928e-13,0.0,2.5742926e-15,2.049398,1,0.0,0.10246990000000003
1025.727,1.5716391e-13,0.0,1.571639e-15,2.051454,1,0.0,0.10257270000000003
1026.755,2.6020082e-13,0.0,2.6020083e-15,2.05351,1,0.0,0.10267550000000003
1027.784,4.4907467e-13,0.0,4.4907468e-15,2.055568,1,0.0,0.10277840000000003
1028.815,6.0982534e-13,0.0,6.098253e-15,2.05763,1,0.0,0.10288150000000003
1029.846,7.2142146e-13,0.0,7.214214e-15,2.059692,1,0.0,0.10298460000000002
1030.878,7.8296647e-13,0.0,7.829664e-15,2.061756,1,0.0,0.10308780000000001
1031.912,8.2820816e-13,0.0,8.2820815e-15,2.063824,1,0.0,0.10319120000000002
1032.946,8.697816e-13,0.0,8.697815e-15,2.065892,1,0.0,0.10329460000000001
1033.982,8.9423656e-13,0.0,8.942366e-15,2.067964,1,0.0,0.10339820000000001
1035.018,8.9260625e-13,0.0,8.926062e-15,2.070036,1,0.0,0.10350180000000002
1036.056,8.4451147e-13,0.0,8.445114e-15,2.072112,1,0.0,0.10360560000000002
1037.095,8.42066e-13,0.0,8.4206595e-15,2.07419,1,0.0,0.10370950000000002
1038.134,9.26028e-13,0.0,9.26028e-15,2.076268,1,0.0,0.10381340000000001
1039.175,9.806441e-13,0.0,9.806441e-15,2.07835,1,0.0,0.10391750000000001
1040.217,1.0026536e-12,0.0,1.0026536e-14,2.080434,1,0.0,0.10402170000000002
1041.26,1.019772e-12,0.0,1.019772e-14,2.08252,1,0.0,0.10412600000000002
1042.303,1.0238479e-12,0.0,1.02384786e-14,2.084606,1,0.0,0.10423030000000003
1043.348,1.0222176e-12,0.0,1.0222176e-14,2.086696,1,0.0,0.10433480000000002
1044.394,1.0385208e-12,0.0,1.0385208e-14,2.088788,1,0.0,0.10443940000000002
1045.441,1.0613455e-12,0.0,1.0613455e-14,2.090882,1,0.0,0.10454410000000003
1046.489,1.0817247e-12,0.0,1.0817246e-14,2.092978,1,0.0,0.10464890000000002
1047.539,1.0866156e-12,0.0,1.0866156e-14,2.095078,1,0.0,0.10475390000000002
1048.589,1.0939521e-12,0.0,1.0939521e-14,2.097178,1,0.0,0.10485890000000002
1049.64,1.1290042e-12,0.0,1.1290042e-14,2.09928,1,0.0,0.10496400000000003
1050.692,1.1542744e-12,0.0,1.1542743e-14,2.101384,1,0.0,0.10506920000000002
1051.745,1.1624261e-12,0.0,1.162426e-14,2.10349,1,0.0,0.1051745
1052.8,1.1746535e-12,0.0,1.1746535e-14,2.1056,1,0.0,0.10528000000000001
1053.855,1.1950327e-12,0.0,1.1950326e-14,2.10771,1,0.0,0.10538550000000002
1054.912,1.2113359e-12,0.0,1.2113359e-14,2.109824,1,0.0,0.10549120000000002
1055.969,1.2366061e-12,0.0,1.236606e-14,2.111938,1,0.0,0.10559690000000002
1057.028,1.2659521e-12,0.0,1.265952e-14,2.114056,1,0.0,0.10570280000000003
1058.088,1.2838856e-12,0.0,1.2838856e-14,2.116176,1,0.0,0.10580880000000002
1059.148,1.280625e-12,0.0,1.280625e-14,2.118296,1,0.0,0.10591480000000002
1060.21,1.2863312e-12,0.0,1.2863312e-14,2.12042,1,0.0,0.10602100000000002
1061.273,1.3156772e-12,0.0,1.3156771e-14,2.122546,1,0.0,0.10612730000000001
1062.337,1.3107861e-12,0.0,1.3107861e-14,2.124674,1,0.0,0.10623370000000001
1063.402,1.3018193e-12,0.0,1.3018193e-14,2.126804,1,0.0,0.10634020000000002
1064.468,1.3401321e-12,0.0,1.3401321e-14,2.128936,1,0.0,0.10644680000000002
1065.535,1.3499141e-12,0.0,1.349914e-14,2.13107,1,0.0,0.10655350000000002
1066.603,1.3352412e-12,0.0,1.33524105e-14,2.133206,1,0.0,0.10666030000000003
1067.673,1.3336107e-12,0.0,1.3336108e-14,2.135346,1,0.0,0.10676730000000002
1068.743,1.3613264e-12,0.0,1.3613264e-14,2.137486,1,0.0,0.10687430000000002
1069.814,1.4240941e-12,0.0,1.4240941e-14,2.139628,1,0.0,0.10698140000000003
1070.887,1.4656675e-12,0.0,1.4656675e-14,2.141774,1,0.0,0.10708870000000001
1071.96,1.4836012e-12,0.0,1.4836012e-14,2.14392,1,0.0,0.10719600000000003
1073.035,1.4909377e-12,0.0,1.4909377e-14,2.14607,1,0.0,0.10730350000000002
1074.111,1.5162078e-12,0.0,1.5162078e-14,2.148222,1,0.0,0.10741110000000002
1075.188,1.5463689e-12,0.0,1.546369e-14,2.150376,1,0.0,0.10751880000000003
1076.265,1.5773452e-12,0.0,1.5773453e-14,2.15253,1,0.0,0.10762650000000003
1077.344,1.6197339e-12,0.0,1.6197338e-14,2.154688,1,0.0,0.10773440000000002
1078.424,1.6523405e-12,0.0,1.6523405e-14,2.156848,1,0.0,0.10784240000000002
1079.506,1.6825016e-12,0.0,1.6825015e-14,2.159012,1,0.0,0.10795060000000002
1080.588,1.7085869e-12,0.0,1.708587e-14,2.161176,1,0.0,0.10805880000000001
1081.671,1.7167386e-12,0.0,1.7167386e-14,2.163342,1,0.0,0.10816710000000003
1082.755,1.7159234e-12,0.0,1.7159234e-14,2.16551,1,0.0,0.10827550000000002
1083.841,1.6825016e-12,0.0,1.6825015e-14,2.167682,1,0.0,0.10838410000000001
1084.927,1.669459e-12,0.0,1.6694589e-14,2.169854,1,0.0,0.10849270000000001
1086.015,1.7411936e-12,0.0,1.7411935e-14,2.17203,1,0.0,0.10860150000000003
1087.104,1.8341225e-12,0.0,1.8341223e-14,2.174208,1,0.0,0.10871040000000003
1088.194,1.870805e-12,0.0,1.8708047e-14,2.176388,1,0.0,0.10881940000000001
1089.285,1.8903687e-12,0.0,1.8903688e-14,2.17857,1,0.0,0.10892850000000003
1090.377,1.8960749e-12,0.0,1.896075e-14,2.180754,1,0.0,0.10903770000000002
1091.47,1.9131936e-12,0.0,1.9131935e-14,2.18294,1,0.0,0.10914700000000002
1092.564,1.9621034e-12,0.0,1.9621034e-14,2.185128,1,0.0,0.10925640000000003
1093.659,2.0036767e-12,0.0,2.0036768e-14,2.187318,1,0.0,0.10936590000000003
1094.756,2.0012314e-12,0.0,2.0012312e-14,2.189512,1,0.0,0.10947560000000003
1095.853,1.9131936e-12,0.0,1.9131935e-14,2.191706,1,0.0,0.10958530000000002
1096.952,1.8235253e-12,0.0,1.8235252e-14,2.193904,1,0.0,0.10969520000000002
1098.051,1.8805868e-12,0.0,1.8805868e-14,2.196102,1,0.0,0.10980510000000002
1099.152,1.9767764e-12,0.0,1.9767764e-14,2.198304,1,0.0,0.10991520000000002
1100.254,2.1063878e-12,0.0,2.1063876e-14,2.200508,1,0.0,0.11002540000000001
1101.357,2.3044728e-12,0.0,2.3044729e-14,2.202714,1,0.0,0.11013570000000002
1102.461,2.5009279e-12,0.0,2.5009278e-14,2.204922,1,0.0,0.11024610000000003
1103.566,2.6835248e-12,0.0,2.6835249e-14,2.207132,1,0.0,0.11035660000000003
1104.673,2.8261787e-12,0.0,2.8261788e-14,2.209346,1,0.0,0.11046730000000002
1105.78,3.0267095e-12,0.0,3.0267096e-14,2.21156,1,0.0,0.11057800000000002
1106.889,3.4122828e-12,0.0,3.4122827e-14,2.213778,1,0.0,0.1106889
1107.998,4.45814e-12,0.0,4.45814e-14,2.215996,1,0.0,0.11079980000000003
1109.109,7.7408115e-12,0.0,7.740812e-14,2.218218,1,0.0,0.1109109
1110.221,1.5243595e-11,0.0,1.5243595e-13,2.220442,1,0.0,0.11102210000000003
1111.334,2.388435e-11,0.0,2.3884348e-13,2.222668,1,0.0,0.11113340000000002
1112.448,3.382937e-11,0.0,3.3829368e-13,2.224896,1,0.0,0.11124480000000003
1113.563,3.856548e-11,0.0,3.856548e-13,2.227126,1,0.0,0.11135630000000003
1114.68,4.7401874e-11,0.0,4.740187e-13,2.22936,1,0.0,0.11146800000000003
1115.797,8.3962046e-11,0.0,8.396205e-13,2.231594,1,0.0,0.11157970000000002
1116.916,8.4695695e-11,0.0,8.4695694e-13,2.233832,1,0.0,0.11169160000000002
1118.035,8.1924134e-11,0.0,8.192413e-13,2.23607,1,0.0,0.11180350000000003
1119.156,1.1665019e-10,0.0,1.1665018e-12,2.238312,1,0.0,0.11191560000000002
1120.278,1.13552556e-10,0.0,1.1355255e-12,2.240556,1,0.0,0.11202780000000002
1121.401,7.3821387e-11,0.0,7.3821385e-13,2.242802,1,0.0,0.11214010000000003
1122.526,7.165305e-11,0.0,7.1653046e-13,2.245052,1,0.0,0.11225260000000002
1123.651,1.3173075e-10,0.0,1.3173075e-12,2.247302,1,0.0,0.11236510000000002
1124.777,1.6238097e-10,0.0,1.6238097e-12,2.249554,1,0.0,0.11247770000000003
1125.905,1.659677e-10,0.0,1.659677e-12,2.25181,1,0.0,0.11259050000000002
1127.034,1.3776297e-10,0.0,1.3776297e-12,2.254068,1,0.0,0.11270340000000004
1128.163,8.4532666e-11,0.0,8.4532663e-13,2.256326,1,0.0,0.11281630000000002
1129.294,6.116187e-11,0.0,6.1161867e-13,2.258588,1,0.0,0.11292940000000003
1130.427,9.945019e-11,0.0,9.945019e-13,2.260854,1,0.0,0.11304270000000001
1131.56,1.4974591e-10,0.0,1.4974591e-12,2.26312,1,0.0,0.11315600000000002
1132.694,1.5520751e-10,0.0,1.5520751e-12,2.265388,1,0.0,0.11326940000000002
1133.83,1.3621415e-10,0.0,1.3621415e-12,2.26766,1,0.0,0.11338300000000001
1134.966,1.4966439e-10,0.0,1.4966438e-12,2.269932,1,0.0,0.11349660000000002
1136.104,1.8536864e-10,0.0,1.8536863e-12,2.272208,1,0.0,0.11361040000000003
1137.243,1.8170039e-10,0.0,1.8170039e-12,2.274486,1,0.0,0.11372430000000001
1138.383,1.2912221e-10,0.0,1.2912221e-12,2.276766,1,0.0,0.11383830000000003
1139.525,7.160414e-11,0.0,7.160414e-13,2.27905,1,0.0,0.11395250000000003
1140.667,7.544357e-11,0.0,7.544357e-13,2.281334,1,0.0,0.11406670000000001
1141.81,1.068682e-10,0.0,1.0686819e-12,2.28362,1,0.0,0.11418100000000002
1142.955,1.0980279e-10,0.0,1.0980279e-12,2.28591,1,0.0,0.11429550000000001
1144.101,1.1387862e-10,0.0,1.1387862e-12,2.288202,1,0.0,0.11441010000000003
1145.248,1.4852315e-10,0.0,1.4852315e-12,2.290496,1,0.0,0.11452480000000002
1146.396,1.5846817e-10,0.0,1.5846817e-12,2.292792,1,0.0,0.11463960000000002
1147.545,1.5064258e-10,0.0,1.5064258e-12,2.29509,1,0.0,0.11475450000000002
1148.696,1.6319614e-10,0.0,1.6319613e-12,2.297392,1,0.0,0.11486960000000002
1149.847,1.738748e-10,0.0,1.738748e-12,2.299694,1,0.0,0.11498470000000002
1151.0,1.7338571e-10,0.0,1.733857e-12,2.302,1,0.0,0.11510000000000002
1152.199951171875,1.643568e-10,1.5443583e-10,4.9307043e-12,6.0,1,0.0,0.11521999511718752
1153.4000244140625,2.2559897e-10,8.935125e-11,6.767969e-12,6.0,1,0.0,0.11534000244140627
1156.9000244140625,3.3393532e-10,1.0067894e-10,1.0018059e-11,6.0,1,0.0,0.11569000244140627
1158.0999755859375,3.9000508e-10,1.38772e-10,1.1700152e-11,6.0,1,0.0,0.11580999755859377
1159.300048828125,2.0948725e-10,1.1191273e-10,6.2846174e-12,6.0,1,0.0,0.11593000488281252
1160.4000244140625,1.1399401e-10,9.763577e-11,3.4198202e-12,6.0,1,0.0,0.11604000244140628
1161.5999755859375,2.1980093e-10,9.7879614e-11,6.594028e-12,6.0,1,0.0,0.11615999755859377
1162.800048828125,2.585834e-10,8.7321594e-11,7.757502e-12,6.0,1,0.0,0.11628000488281252
1164.0,1.2655693e-10,1.3996115e-10,3.7967077e-12,6.0,1,0.0,0.11640000000000002
1165.199951171875,4.313195e-11,7.470673e-11,1.2939585e-12,6.0,1,0.0,0.11651999511718752
1169.9000244140625,4.1386766e-11,7.1683985e-11,1.241603e-12,6.0,1,0.0,0.11699000244140627
1171.0999755859375,6.597556e-11,9.15327e-11,1.9792668e-12,6.0,1,0.0,0.11710999755859378
1172.199951171875,1.6183312e-11,2.8030318e-11,4.8549934e-13,6.0,1,0.0,0.11721999511718752
1173.4000244140625,6.758148e-11,7.0271754e-11,2.0274444e-12,6.0,1,0.0,0.11734000244140627
