CNS5,GJ,Comp,NComp,P_,GJp,GaiaDR3,HIP,RAJ2000,DEJ2000,_tab1_11,plx,pmRA,pmDE,RV,Gmag,BPmag,RPmag,GHIPmag,G-RPHIP,Gmagr,__G-RP_r,f__G-RP_r,Jmag,Hmag,Ksmag,W1mag,W2mag,W3mag,W4mag,SimbadName
4328,12525,,,0,,4162703606326651392,,263.62778322443,-11.86249939469,2016.0,48.39,120.4,-372.79,,17.690979,21.080263,16.107285,,,17.690979,1.583694,1,13.11,12.372,11.883,11.537,11.313,10.887,8.883,CNS5 4328
4315,12512,A,2,1,,4166869660174061568,,263.14163492513,-9.02197799113,2016.0,41.83,214.58,-78.89,-60.74,11.586334,12.760566,10.509374,,,11.586334,1.076717,0,9.137,8.576,8.341,,,,,CNS5 4315
4314,12511,B,2,0,12512,4166869660174943232,,263.14101803113,-9.01994654107,2016.0,41.85,221.8,-75.77,-61.22,12.041588,13.295277,10.931388,,,12.041588,1.109547,0,9.512,8.95,8.705,,,,,CNS5 4314
4325,12522,,,0,,4168368844280868864,,263.53535706228,-8.83242587381,2016.0,62.03,-183.33,-311.31,,14.108105,16.128096,12.79591,,,14.108105,1.321971,0,10.905,10.4,10.055,9.887,9.682,9.515,8.066,CNS5 4325
4341,12534,,,0,,4169409974417144320,,264.00719847307,-7.13862933222,2016.0,43.11,-36.51,-17.8,,12.945031,14.642634,11.69075,,,12.945031,1.249557,0,9.928,9.342,9.031,8.847,8.658,8.538,8.576,CNS5 4341
4375,4023,,,0,,4165225959018604544,,265.54104297603,-8.81882612885,2016.0,46.83,-839.85,-474.22,-85.68,12.479675,13.836328,11.328932,,,12.479675,1.147891,0,9.812,9.324,9.065,8.895,8.705,8.616,8.309,CNS5 4375
4402,12564,,,0,,4165561928540617728,,266.62202018224,-8.71204247898,2016.0,76.57,-43.81,-428.18,,11.275215,12.984178,10.01314,,,11.275215,1.25342,0,8.198,7.693,7.353,7.196,7.012,6.899,6.79,CNS5 4402
4186,12440,,,0,,4364462551205872128,,256.45198262032,-5.2800736381,2016.0,53.12,116.91,-119.75,12.19,18.187601,21.26499,16.593578,,,18.187601,1.594023,1,13.309,12.552,12.032,11.681,11.423,11.044,7.743,CNS5 4186
4192,12445,,,0,,4364185165038935040,,256.84801770697,-5.97359242799,2016.0,83.58,90.28,18.09,,16.966854,20.334425,15.308487,,,16.966854,1.658367,1,12.052,11.26,10.711,10.236,9.955,9.399,8.392,CNS5 4192
4239,12471,,,0,,4361639417663824896,,259.08681211322,-5.39815546044,2016.0,51.11,168.52,-124.39,,11.3816595,12.742578,10.231314,,,11.38166,1.148897,0,8.697,8.085,7.829,7.671,7.562,7.473,7.432,CNS5 4239
